['4', '9', 14, 12, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 6, 1, 0, 1, 1, 2, 0, 0, 3, 0, 1, 7, 2, 0, 3, 1, 0, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1, 2, 5, 0, 0, 0, 0, 1, 0, 3, 6, 0, 0, 0, 0, 0, 0, 2, 3, 2, 0, 0, 0, 0, 0, 0, 3, 2, 1]]
['3', '4', 32, 33, [6, 0, 0, 6, 1, 0, 1, 1, 2, 0, 0, 3, 0, 1, 7, 2, 0, 3, 1, 0, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1, 2, 5, 0, 0, 0, 0, 1, 0, 3, 6, 0, 0, 0, 0, 0, 0, 2, 3, 2, 0, 0, 0, 0, 0, 0, 3, 2, 1], [4, 0, 1, 9, 3, 0, 3, 3, 5, 3, 9, 6, 2, 2, 3, 4, 2, 5, 3, 0, 0, 0, 1, 0, 0, 2, 9, 0, 0, 2, 0, 0, 2, 3, 2, 0, 0, 0, 2, 0, 10, 8, 2, 0, 0, 1, 0, 0, 5, 0, 2, 3, 3, 1, 3, 9, 0, 4, 3, 0]]
['5', '3', 41, 42, [4, 0, 1, 9, 3, 0, 3, 3, 5, 3, 9, 6, 2, 2, 3, 4, 2, 5, 3, 0, 0, 0, 1, 0, 0, 2, 9, 0, 0, 2, 0, 0, 2, 3, 2, 0, 0, 0, 2, 0, 10, 8, 2, 0, 0, 1, 0, 0, 5, 0, 2, 3, 3, 1, 3, 9, 0, 4, 3, 0], [6, 0, 9, 9, 3, 0, 3, 6, 2, 0, 10, 6, 2, 2, 2, 2, 1, 1, 3, 0, 0, 0, 1, 0, 3, 1, 1, 1, 8, 0, 0, 3, 0, 5, 5, 0, 0, 0, 0, 1, 2, 8, 5, 0, 0, 4, 3, 0, 6, 0, 2, 4, 3, 1, 0, 6, 1, 7, 0, 6]]
['9', '5', 68, 69, [6, 0, 9, 9, 3, 0, 3, 6, 2, 0, 10, 6, 2, 2, 2, 2, 1, 1, 3, 0, 0, 0, 1, 0, 3, 1, 1, 1, 8, 0, 0, 3, 0, 5, 5, 0, 0, 0, 0, 1, 2, 8, 5, 0, 0, 4, 3, 0, 6, 0, 2, 4, 3, 1, 0, 6, 1, 7, 0, 6], [6, 0, 6, 4, 6, 0, 6, 5, 0, 0, 8, 5, 2, 1, 2, 1, 10, 0, 2, 0, 2, 0, 3, 0, 3, 0, 3, 0, 8, 8, 1, 6, 3, 5, 7, 1, 0, 0, 0, 1, 2, 8, 8, 1, 0, 7, 3, 1, 7, 0, 2, 4, 5, 3, 0, 8, 0, 7, 0, 6]]
['7', '9', 77, 75, [6, 0, 6, 4, 6, 0, 6, 5, 0, 0, 8, 5, 2, 1, 2, 1, 10, 0, 2, 0, 2, 0, 3, 0, 3, 0, 3, 0, 8, 8, 1, 6, 3, 5, 7, 1, 0, 0, 0, 1, 2, 8, 8, 1, 0, 7, 3, 1, 7, 0, 2, 4, 5, 3, 0, 8, 0, 7, 0, 6], [3, 0, 2, 4, 8, 0, 3, 6, 1, 3, 0, 5, 2, 0, 0, 0, 10, 0, 0, 1, 1, 0, 3, 1, 0, 5, 3, 0, 9, 9, 2, 5, 5, 2, 10, 1, 7, 3, 7, 1, 1, 8, 7, 0, 0, 7, 0, 0, 7, 2, 1, 7, 6, 1, 1, 8, 1, 9, 0, 3]]
['13', '7', 83, 84, [3, 0, 2, 4, 8, 0, 3, 6, 1, 3, 0, 5, 2, 0, 0, 0, 10, 0, 0, 1, 1, 0, 3, 1, 0, 5, 3, 0, 9, 9, 2, 5, 5, 2, 10, 1, 7, 3, 7, 1, 1, 8, 7, 0, 0, 7, 0, 0, 7, 2, 1, 7, 6, 1, 1, 8, 1, 9, 0, 3], [3, 3, 1, 5, 6, 0, 5, 4, 4, 3, 0, 4, 2, 0, 2, 0, 10, 0, 2, 4, 0, 1, 6, 4, 0, 7, 1, 0, 7, 9, 0, 7, 8, 1, 10, 1, 9, 8, 7, 0, 3, 9, 5, 2, 1, 7, 0, 2, 7, 1, 4, 7, 3, 8, 1, 5, 1, 1, 0, 5]]
['2', '13', 98, 96, [3, 3, 1, 5, 6, 0, 5, 4, 4, 3, 0, 4, 2, 0, 2, 0, 10, 0, 2, 4, 0, 1, 6, 4, 0, 7, 1, 0, 7, 9, 0, 7, 8, 1, 10, 1, 9, 8, 7, 0, 3, 9, 5, 2, 1, 7, 0, 2, 7, 1, 4, 7, 3, 8, 1, 5, 1, 1, 0, 5], [3, 2, 1, 5, 9, 5, 5, 6, 5, 1, 0, 8, 4, 3, 0, 0, 10, 3, 1, 5, 3, 3, 5, 4, 0, 7, 2, 0, 7, 9, 0, 8, 10, 3, 10, 9, 7, 5, 4, 0, 4, 9, 4, 1, 0, 7, 3, 0, 6, 0, 2, 9, 4, 9, 1, 8, 1, 2, 2, 4]]
['8', '2', 131, 132, [3, 2, 1, 5, 9, 5, 5, 6, 5, 1, 0, 8, 4, 3, 0, 0, 10, 3, 1, 5, 3, 3, 5, 4, 0, 7, 2, 0, 7, 9, 0, 8, 10, 3, 10, 9, 7, 5, 4, 0, 4, 9, 4, 1, 0, 7, 3, 0, 6, 0, 2, 9, 4, 9, 1, 8, 1, 2, 2, 4], [2, 2, 4, 2, 10, 8, 7, 1, 5, 2, 0, 9, 10, 0, 2, 2, 8, 2, 1, 7, 3, 2, 7, 2, 3, 9, 0, 1, 7, 9, 0, 6, 2, 1, 10, 9, 10, 5, 6, 0, 2, 6, 6, 7, 1, 5, 1, 1, 6, 0, 2, 7, 5, 9, 0, 9, 1, 1, 8, 4]]
['1', '8', 149, 150, [2, 2, 4, 2, 10, 8, 7, 1, 5, 2, 0, 9, 10, 0, 2, 2, 8, 2, 1, 7, 3, 2, 7, 2, 3, 9, 0, 1, 7, 9, 0, 6, 2, 1, 10, 9, 10, 5, 6, 0, 2, 6, 6, 7, 1, 5, 1, 1, 6, 0, 2, 7, 5, 9, 0, 9, 1, 1, 8, 4], [0, 0, 7, 5, 10, 5, 8, 3, 4, 5, 3, 9, 9, 0, 6, 5, 8, 2, 1, 7, 3, 4, 7, 0, 1, 2, 2, 3, 5, 8, 6, 5, 7, 0, 7, 7, 10, 3, 6, 0, 0, 9, 9, 9, 2, 3, 1, 0, 6, 6, 3, 7, 2, 1, 0, 9, 0, 2, 7, 7]]
['4', '1', 167, 168, [0, 0, 7, 5, 10, 5, 8, 3, 4, 5, 3, 9, 9, 0, 6, 5, 8, 2, 1, 7, 3, 4, 7, 0, 1, 2, 2, 3, 5, 8, 6, 5, 7, 0, 7, 7, 10, 3, 6, 0, 0, 9, 9, 9, 2, 3, 1, 0, 6, 6, 3, 7, 2, 1, 0, 9, 0, 2, 7, 7], [2, 1, 6, 7, 9, 6, 7, 3, 4, 6, 1, 9, 10, 9, 10, 8, 4, 2, 3, 7, 5, 4, 5, 0, 3, 3, 3, 3, 8, 8, 6, 3, 5, 0, 4, 7, 7, 9, 10, 1, 0, 9, 10, 6, 4, 2, 9, 9, 4, 3, 3, 4, 1, 0, 1, 5, 1, 0, 6, 5]]
