['5', '4', 5, 5, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 9, 0, 0, 0, 1, 0, 0, 7, 0, 1, 2, 2, 0, 2, 0, 0, 2, 2, 0, 3, 0, 6, 1, 0, 0, 0, 7, 2, 1, 2, 0, 2, 6, 0, 0, 2, 0, 7, 3, 0, 0, 0, 7, 2, 0, 2, 0, 0, 9, 1, 0, 0, 9, 0, 0, 9, 0]]
['11', '5', 5, 6, [0, 0, 2, 9, 0, 0, 0, 1, 0, 0, 7, 0, 1, 2, 2, 0, 2, 0, 0, 2, 2, 0, 3, 0, 6, 1, 0, 0, 0, 7, 2, 1, 2, 0, 2, 6, 0, 0, 2, 0, 7, 3, 0, 0, 0, 7, 2, 0, 2, 0, 0, 9, 1, 0, 0, 9, 0, 0, 9, 0], [3, 3, 1, 9, 3, 1, 1, 3, 0, 0, 0, 0, 1, 3, 5, 1, 2, 0, 9, 0, 9, 0, 3, 3, 5, 1, 0, 8, 0, 8, 0, 3, 2, 3, 5, 3, 0, 3, 3, 4, 4, 6, 0, 0, 2, 8, 3, 2, 0, 0, 0, 9, 3, 0, 0, 8, 1, 0, 6, 0]]
['0', '11', 17, 15, [3, 3, 1, 9, 3, 1, 1, 3, 0, 0, 0, 0, 1, 3, 5, 1, 2, 0, 9, 0, 9, 0, 3, 3, 5, 1, 0, 8, 0, 8, 0, 3, 2, 3, 5, 3, 0, 3, 3, 4, 4, 6, 0, 0, 2, 8, 3, 2, 0, 0, 0, 9, 3, 0, 0, 8, 1, 0, 6, 0], [0, 4, 2, 9, 1, 3, 1, 6, 3, 2, 6, 4, 3, 3, 2, 0, 3, 2, 9, 5, 9, 0, 6, 3, 4, 0, 0, 9, 3, 3, 10, 3, 3, 4, 9, 4, 0, 5, 4, 3, 8, 9, 0, 0, 2, 1, 4, 0, 1, 0, 10, 6, 3, 3, 2, 5, 9, 2, 7, 1]]
['15', '0', 26, 30, [0, 4, 2, 9, 1, 3, 1, 6, 3, 2, 6, 4, 3, 3, 2, 0, 3, 2, 9, 5, 9, 0, 6, 3, 4, 0, 0, 9, 3, 3, 10, 3, 3, 4, 9, 4, 0, 5, 4, 3, 8, 9, 0, 0, 2, 1, 4, 0, 1, 0, 10, 6, 3, 3, 2, 5, 9, 2, 7, 1], [0, 4, 0, 8, 0, 2, 3, 4, 1, 0, 9, 4, 5, 6, 8, 1, 9, 4, 9, 6, 10, 5, 5, 3, 10, 3, 0, 9, 1, 9, 10, 4, 6, 4, 8, 4, 0, 3, 3, 2, 9, 9, 0, 1, 2, 0, 1, 0, 0, 1, 10, 3, 3, 1, 4, 2, 6, 2, 8, 0]]
['4', '15', 71, 69, [0, 4, 0, 8, 0, 2, 3, 4, 1, 0, 9, 4, 5, 6, 8, 1, 9, 4, 9, 6, 10, 5, 5, 3, 10, 3, 0, 9, 1, 9, 10, 4, 6, 4, 8, 4, 0, 3, 3, 2, 9, 9, 0, 1, 2, 0, 1, 0, 0, 1, 10, 3, 3, 1, 4, 2, 6, 2, 8, 0], [1, 7, 0, 8, 2, 5, 6, 4, 4, 0, 7, 8, 5, 6, 5, 0, 9, 4, 7, 3, 10, 5, 7, 4, 10, 4, 0, 4, 1, 4, 10, 2, 3, 1, 8, 5, 2, 3, 0, 0, 7, 9, 0, 2, 1, 0, 4, 3, 0, 0, 10, 1, 6, 3, 5, 0, 6, 0, 7, 3]]
['14', '4', 104, 105, [1, 7, 0, 8, 2, 5, 6, 4, 4, 0, 7, 8, 5, 6, 5, 0, 9, 4, 7, 3, 10, 5, 7, 4, 10, 4, 0, 4, 1, 4, 10, 2, 3, 1, 8, 5, 2, 3, 0, 0, 7, 9, 0, 2, 1, 0, 4, 3, 0, 0, 10, 1, 6, 3, 5, 0, 6, 0, 7, 3], [2, 7, 0, 2, 2, 5, 3, 1, 0, 0, 5, 6, 4, 7, 5, 0, 10, 0, 6, 6, 7, 8, 5, 5, 10, 4, 5, 1, 10, 7, 10, 8, 5, 1, 9, 4, 2, 3, 2, 1, 8, 9, 1, 4, 0, 3, 6, 4, 1, 0, 10, 3, 5, 2, 6, 0, 4, 0, 10, 6]]
['5', '14', 113, 111, [2, 7, 0, 2, 2, 5, 3, 1, 0, 0, 5, 6, 4, 7, 5, 0, 10, 0, 6, 6, 7, 8, 5, 5, 10, 4, 5, 1, 10, 7, 10, 8, 5, 1, 9, 4, 2, 3, 2, 1, 8, 9, 1, 4, 0, 3, 6, 4, 1, 0, 10, 3, 5, 2, 6, 0, 4, 0, 10, 6], [0, 8, 0, 7, 4, 5, 2, 4, 3, 6, 2, 4, 6, 9, 6, 0, 7, 0, 5, 4, 10, 6, 5, 8, 9, 4, 5, 0, 10, 6, 10, 7, 0, 5, 7, 4, 3, 6, 0, 4, 10, 9, 0, 6, 0, 3, 8, 7, 0, 3, 9, 6, 2, 2, 6, 0, 4, 0, 10, 3]]
['1', '5', 128, 126, [0, 8, 0, 7, 4, 5, 2, 4, 3, 6, 2, 4, 6, 9, 6, 0, 7, 0, 5, 4, 10, 6, 5, 8, 9, 4, 5, 0, 10, 6, 10, 7, 0, 5, 7, 4, 3, 6, 0, 4, 10, 9, 0, 6, 0, 3, 8, 7, 0, 3, 9, 6, 2, 2, 6, 0, 4, 0, 10, 3], [0, 9, 0, 4, 5, 6, 4, 6, 0, 8, 0, 2, 4, 9, 6, 1, 4, 0, 4, 9, 10, 7, 10, 8, 10, 2, 3, 0, 10, 8, 10, 5, 0, 3, 4, 4, 5, 7, 0, 4, 10, 9, 1, 9, 2, 8, 6, 5, 3, 0, 8, 6, 2, 7, 9, 7, 2, 1, 9, 5]]
['8', '1', 128, 129, [0, 9, 0, 4, 5, 6, 4, 6, 0, 8, 0, 2, 4, 9, 6, 1, 4, 0, 4, 9, 10, 7, 10, 8, 10, 2, 3, 0, 10, 8, 10, 5, 0, 3, 4, 4, 5, 7, 0, 4, 10, 9, 1, 9, 2, 8, 6, 5, 3, 0, 8, 6, 2, 7, 9, 7, 2, 1, 9, 5], [0, 9, 0, 7, 5, 4, 1, 4, 0, 7, 3, 6, 7, 8, 6, 0, 3, 3, 4, 9, 10, 9, 10, 9, 8, 4, 0, 1, 8, 2, 6, 7, 3, 3, 7, 7, 5, 5, 0, 1, 8, 7, 2, 9, 2, 8, 10, 2, 6, 0, 9, 6, 0, 9, 9, 4, 2, 3, 9, 8]]
['12', '8', 149, 150, [0, 9, 0, 7, 5, 4, 1, 4, 0, 7, 3, 6, 7, 8, 6, 0, 3, 3, 4, 9, 10, 9, 10, 9, 8, 4, 0, 1, 8, 2, 6, 7, 3, 3, 7, 7, 5, 5, 0, 1, 8, 7, 2, 9, 2, 8, 10, 2, 6, 0, 9, 6, 0, 9, 9, 4, 2, 3, 9, 8], [1, 7, 0, 5, 5, 3, 1, 6, 0, 7, 4, 5, 9, 9, 6, 2, 3, 5, 7, 9, 9, 8, 1, 9, 6, 6, 1, 0, 5, 4, 5, 7, 0, 5, 7, 5, 5, 2, 0, 5, 7, 7, 3, 5, 1, 6, 8, 5, 5, 0, 10, 5, 3, 9, 8, 3, 3, 3, 9, 9]]
